,tweet_text
281,  Demonetization Is Disaster   
282,  Demonetization Is Disaster   
283,  Demonetization Is Disaster   
284, No issues with  demonetization  my maid s son exchanged money in just 15 mins  that too when she doesn t have a son and I 
285,  Demonetization Is Disaster   
286, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
287,  would be interesting to look at this research again in light of  demonetization   A real  blackswan   
288, Demonetization Is Disaster   
289, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
290, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
291, Did you vote on  Demonetization on Modi survey app 
292,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
293,Things are very fast getting back to normal  No long queues in Bhopal banks and ATMs anymore   DeMonetization
294,  how you guys reached 8 lakh ghotala in  Demonetization process  Pls explain the number 
295,World is full of  smart  people  demonetization 
296, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
297,  Demonetization has long term benefits  Pain now is temporary  Let us help  nation to make  India  corruption free 
298, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
299, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
300, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
301, Wow   Demonetization Survey Response  5 Lakh citizens in little over 24 hrs  Participate now  
302, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
303, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
304,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
305, After the  demonetization  searches about  NarendraModi s app are trending on app stores 
306, Not surgical strike  It s the nuclear button  This is Modi s Pokhran  Kudos  demonetization
307, And the Oscar goes to  Mr  U 092D  U 093E  U 0935  U 0941  U 0915    ed  U 00A0  U 00BD  ed  U 00B8  U 00A9  ed  U 00A0  U 00BD  ed  U 00B8  U 00A5  ed  U 00A0  U 00BD  ed  U 00B8  U 00A2  ed  U 00A0  U 00BD  ed  U 00B8  U 00AD  demonetization 
308,Amazing how videos showing ppl happy with  demonetization end up as mobile forwards  unhappy videos land on  tl  prestitutes
309, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
310,Rahul Gandhi  PM favours Rich people   who do u think Peons and sarkari babu are   Demonetization
311,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
312, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
313, Demonetization modi ji just like your survey mrs  clinton  was also winning the elections in all the surveys 
314,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
315, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
316, Acid test for  Modi and  BJP   Demonetization hits  Indian life  India  banking  SouthAsia 
317, Acid test for  Modi and  BJP   Demonetization hits  Indian life  India  banking  SouthAsia 
318, Acid test for  Modi and  BJP   Demonetization hits  Indian life  India  banking  SouthAsia 
319, Can t say anything about Productivity but Creativity has increased after  Demonetization  2016  
320, Did you vote on  Demonetization on Modi survey app 
